Tanggal,Kota,Nama_Produk,Harga,Qty
2025-01-01,Jakarta,Keyboard Mekanik,350000,2
2025-01-01,Bandung,Mouse Gaming RGB,150000,1
2025-01-02,Surabaya,Headset Bluetooth,250000,5
2025-01-02,Jakarta,Mousepad XL,50000,10
2025-01-03,Bandung,Stand Laptop,75000,3
2025-01-03,Surabaya,Keyboard Mekanik,350000,1
2025-01-04,Jakarta,Mouse Gaming RGB,150000,4
2025-01-05,Medan,Headset Bluetooth,250000,2
2025-01-05,Jakarta,Keyboard Mekanik,350000,5
2025-01-06,Bandung,Mousepad XL,50000,2
2025-01-07,Surabaya,Stand Laptop,75000,5
2025-01-08,Medan,Mouse Gaming RGB,150000,3
2025-01-09,Jakarta,Headset Bluetooth,250000,4
2025-01-10,Bandung,Keyboard Mekanik,350000,2
2025-01-11,Surabaya,Mousepad XL,50000,5
2025-01-12,Medan,Keyboard Mekanik,350000,1
2025-01-13,Jakarta,Stand Laptop,75000,10
2025-01-14,Bandung,Mouse Gaming RGB,150000,2
2025-01-15,Surabaya,Headset Bluetooth,250000,1
2025-01-16,Jakarta,Keyboard Mekanik,350000,3
2025-01-17,Medan,Stand Laptop,75000,4
2025-01-18,Bandung,Mousepad XL,50000,3
2025-01-19,Jakarta,Mouse Gaming RGB,150000,5
2025-01-20,Surabaya,Keyboard Mekanik,350000,2
2025-01-21,Medan,Headset Bluetooth,250000,3
2025-01-22,Jakarta,Stand Laptop,75000,2
2025-01-23,Bandung,Keyboard Mekanik,350000,1
2025-01-24,Surabaya,Mouse Gaming RGB,150000,2
2025-01-25,Jakarta,Headset Bluetooth,250000,2
2025-01-26,Medan,Mousepad XL,50000,10